Keyword,Category,Definition,Notes,Cards
emotional maturity,Love,Represents the quality or energy of emotional maturity in cardology practice,Core cardology keyword representing essential card energy,9 of Hearts
emotional power,Love,Represents the quality or energy of emotional power in cardology practice,Core cardology keyword representing essential card energy,8 of Hearts
emotional structure,Love,Represents the quality or energy of emotional structure in cardology practice,Core cardology keyword representing essential card energy,4 of Hearts
emotional variety,Love,Represents the quality or energy of emotional variety in cardology practice,Core cardology keyword representing essential card energy,3 of Hearts
endings,Healing,Represents the quality or energy of endings in cardology practice,Core cardology keyword representing essential card energy,9 of Hearts
ethics,Other,Represents the quality or energy of ethics in cardology practice,Core cardology keyword representing essential card energy,3 of Clubs
expanded consciousness,Clarity,Represents the quality or energy of expanded consciousness in cardology practice,Core cardology keyword representing essential card energy,9 of Clubs
experimentation,Other,Represents the quality or energy of experimentation in cardology practice,Core cardology keyword representing essential card energy,10 of Clubs
faith,Other,Represents the quality or energy of faith in cardology practice,Core cardology keyword representing essential card energy,7 of Spades
family,Love,Represents the quality or energy of family in cardology practice,Core cardology keyword representing essential card energy,4 of Hearts
family loyalty,Love,Represents the quality or energy of family loyalty in cardology practice,Core cardology keyword representing essential card energy,King of Hearts
fate,Other,Represents the quality or energy of fate in cardology practice,Core cardology keyword representing essential card energy,6 of Spades
father energy,Love,Represents the quality or energy of father energy in cardology practice,Core cardology keyword representing essential card energy,King of Hearts
fear of being alone,Other,Represents the quality or energy of fear of being alone in cardology practice,Core cardology keyword representing essential card energy,2 of Clubs
fear of poverty,Other,Represents the quality or energy of fear of poverty in cardology practice,Core cardology keyword representing essential card energy,3 of Clubs
financial creativity,Money,Represents the quality or energy of financial creativity in cardology practice,Core cardology keyword representing essential card energy,Jack of Clubs
fixed focus,Other,Represents the quality or energy of fixed focus in cardology practice,Core cardology keyword representing essential card energy,8 of Clubs
fixed ideals,Money,Represents the quality or energy of fixed ideals in cardology practice,Core cardology keyword representing essential card energy,Jack of Hearts
forgiveness,Healing,Releasing resentment to restore emotional freedom,Core cardology keyword representing essential card energy,7 of Hearts
freedom,Other,Represents the quality or energy of freedom in cardology practice,Core cardology keyword representing essential card energy,5 of Hearts
freedom need,Other,Represents the quality or energy of freedom need in cardology practice,Core cardology keyword representing essential card energy,King of Clubs
freedom/travel,Other,Represents the quality or energy of freedom/travel in cardology practice,Core cardology keyword representing essential card energy,10 of Clubs
freedom; restlessness; sales; adaptability; responsibility,Other,Compound keyword representing multiple related energies: freedom; restlessness; sales; adaptability; responsibility. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,5 of Diamonds
fulfillment,Other,Represents the quality or energy of fulfillment in cardology practice,Core cardology keyword representing essential card energy,6 of Hearts
generosity,Healing,Represents the quality or energy of generosity in cardology practice,Core cardology keyword representing essential card energy,9 of Spades
giving knowledge,Clarity,Represents the quality or energy of giving knowledge in cardology practice,Core cardology keyword representing essential card energy,9 of Clubs
giving; philanthropy; completion; boundaries; higher values,Money,Compound keyword representing multiple related energies: giving; philanthropy; completion; boundaries; higher values. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,9 of Diamonds
gratitude,Other,Represents the quality or energy of gratitude in cardology practice,Core cardology keyword representing essential card energy,2 of Clubs
grounding & stability,Protection,Represents the quality or energy of grounding & stability in cardology practice,Core cardology keyword representing essential card energy,"4 of Spades,6 of Spades,10 of Spades"
groups,Other,Represents the quality or energy of groups in cardology practice,Core cardology keyword representing essential card energy,4 of Clubs
harmony,Other,Represents the quality or energy of harmony in cardology practice,Core cardology keyword representing essential card energy,6 of Hearts
healing presence,Healing,Represents the quality or energy of healing presence in cardology practice,Core cardology keyword representing essential card energy,8 of Hearts
healing thoughts,Healing,Represents the quality or energy of healing thoughts in cardology practice,Core cardology keyword representing essential card energy,7 of Clubs
healthy boundaries,Protection,Represents the quality or energy of healthy boundaries in cardology practice,Core cardology keyword representing essential card energy,9 of Spades
heart-boundaries,Love,Represents the quality or energy of heart-boundaries in cardology practice,Core cardology keyword representing essential card energy,7 of Hearts
heart-opening,Love,Softening defenses to allow sincere giving/receiving,Core cardology keyword representing essential card energy,Ace of Hearts
higher principles,Other,Represents the quality or energy of higher principles in cardology practice,Core cardology keyword representing essential card energy,10 of Clubs
higher purpose,Other,Represents the quality or energy of higher purpose in cardology practice,Core cardology keyword representing essential card energy,6 of Clubs
higher wisdom,Clarity,Represents the quality or energy of higher wisdom in cardology practice,Core cardology keyword representing essential card energy,"Ace of Spades,King of Spades"
home,Other,Represents the quality or energy of home in cardology practice,Core cardology keyword representing essential card energy,4 of Hearts
humor,Other,Represents the quality or energy of humor in cardology practice,Core cardology keyword representing essential card energy,Joker
idealism,Money,Represents the quality or energy of idealism in cardology practice,Core cardology keyword representing essential card energy,"2 of Hearts,Queen of Hearts"
ideals,Money,Represents the quality or energy of ideals in cardology practice,Core cardology keyword representing essential card energy,8 of Hearts
ideas,Clarity,Represents the quality or energy of ideas in cardology practice,Core cardology keyword representing essential card energy,Jack of Clubs
impatience,Other,Represents the quality or energy of impatience in cardology practice,Core cardology keyword representing essential card energy,Jack of Clubs
impulsive spending,Healing,Represents the quality or energy of impulsive spending in cardology practice,Core cardology keyword representing essential card energy,5 of Clubs
indecision; values conflict; temptation; spirituality; creativity,Money,Compound keyword representing multiple related energies: indecision; values conflict; temptation; spirituality; creativity. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,3 of Diamonds
independence,Other,Represents the quality or energy of independence in cardology practice,Core cardology keyword representing essential card energy,"Ace of Clubs,8 of Clubs"
influence,Power,Represents the quality or energy of influence in cardology practice,Core cardology keyword representing essential card energy,8 of Hearts
initiation,Healing,Represents the quality or energy of initiation in cardology practice,Core cardology keyword representing essential card energy,Jack of Spades
innovation,Other,Represents the quality or energy of innovation in cardology practice,Core cardology keyword representing essential card energy,Jack of Clubs
inspiration,Other,Represents the quality or energy of inspiration in cardology practice,Core cardology keyword representing essential card energy,7 of Clubs
integrity boundary (shadow),Protection,Represents the quality or energy of integrity boundary (shadow) in cardology practice,Shadow aspect - challenging expression that requires awareness and integration,Jack of Clubs
intensity,Other,Represents the quality or energy of intensity in cardology practice,Core cardology keyword representing essential card energy,Jack of Hearts
intuition,Clarity,Represents the quality or energy of intuition in cardology practice,Core cardology keyword representing essential card energy,"Queen of Clubs,Ace of Spades,2 of Spades"
joyful release,Healing,Represents the quality or energy of joyful release in cardology practice,Core cardology keyword representing essential card energy,Joker
karmic truth,Clarity,Represents the quality or energy of karmic truth in cardology practice,Core cardology keyword representing essential card energy,9 of Hearts
knowledge,Clarity,Seeking/holding information that changes decisions,Core cardology keyword representing essential card energy,Ace of Clubs
leadership,Power,Represents the quality or energy of leadership in cardology practice,Core cardology keyword representing essential card energy,"10 of Hearts,King of Clubs"
leadership with love,Love,Represents the quality or energy of leadership with love in cardology practice,Core cardology keyword representing essential card energy,King of Hearts
learning,Clarity,Represents the quality or energy of learning in cardology practice,Core cardology keyword representing essential card energy,Ace of Clubs
love,Love,Core heart-centered connection and affection,Core cardology keyword representing essential card energy,Ace of Hearts
love challenge,Love,Represents the quality or energy of love challenge in cardology practice,Core cardology keyword representing essential card energy,4 of Clubs
loyalty,Other,Represents the quality or energy of loyalty in cardology practice,Core cardology keyword representing essential card energy,4 of Hearts
martyr tendency,Other,Represents the quality or energy of martyr tendency in cardology practice,Core cardology keyword representing essential card energy,Jack of Hearts
mastery,Power,Represents the quality or energy of mastery in cardology practice,Core cardology keyword representing essential card energy,King of Clubs
mental creativity,Clarity,Represents the quality or energy of mental creativity in cardology practice,Core cardology keyword representing essential card energy,Jack of Clubs
mental power,Clarity,Represents the quality or energy of mental power in cardology practice,Core cardology keyword representing essential card energy,8 of Clubs
mental restlessness,Clarity,Represents the quality or energy of mental restlessness in cardology practice,Core cardology keyword representing essential card energy,5 of Clubs
mental satisfaction,Clarity,Represents the quality or energy of mental satisfaction in cardology practice,Core cardology keyword representing essential card energy,4 of Clubs
mind mastery,Clarity,Represents the quality or energy of mind mastery in cardology practice,Core cardology keyword representing essential card energy,10 of Clubs
mindset responsibility,Clarity,Represents the quality or energy of mindset responsibility in cardology practice,Core cardology keyword representing essential card energy,7 of Clubs
mood shifts,Other,Represents the quality or energy of mood shifts in cardology practice,Core cardology keyword representing essential card energy,3 of Hearts
mother energy,Love,Represents the quality or energy of mother energy in cardology practice,Core cardology keyword representing essential card energy,Queen of Hearts
negative thinking (shadow),Other,Represents the quality or energy of negative thinking (shadow) in cardology practice,Shadow aspect - challenging expression that requires awareness and integration,9 of Clubs
nurturing,Love,Represents the quality or energy of nurturing in cardology practice,Core cardology keyword representing essential card energy,Queen of Hearts
partnership,Love,Represents the quality or energy of partnership in cardology practice,Core cardology keyword representing essential card energy,"2 of Hearts,2 of Clubs"
partnership (work),Love,Represents the quality or energy of partnership (work) in cardology practice,Core cardology keyword representing essential card energy,"2 of Spades,5 of Spades"
partnership destiny,Love,Represents the quality or energy of partnership destiny in cardology practice,Core cardology keyword representing essential card energy,King of Clubs
partnerships; deals; intuition; ambition; negotiation; assets,Love,Compound keyword representing multiple related energies: partnerships; deals; intuition; ambition; negotiation; assets. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,2 of Diamonds
past-life knowledge,Clarity,Represents the quality or energy of past-life knowledge in cardology practice,Core cardology keyword representing essential card energy,King of Clubs
peace-making,Other,Represents the quality or energy of peace-making in cardology practice,Core cardology keyword representing essential card energy,6 of Hearts
performance,Other,Represents the quality or energy of performance in cardology practice,Core cardology keyword representing essential card energy,3 of Clubs
personal truth,Clarity,Represents the quality or energy of personal truth in cardology practice,Core cardology keyword representing essential card energy,King of Clubs
pessimism,Other,Represents the quality or energy of pessimism in cardology practice,Core cardology keyword representing essential card energy,7 of Clubs
philanthropy; values alignment; money anxiety; taste; boundaries,Money,Compound keyword representing multiple related energies: philanthropy; values alignment; money anxiety; taste; boundaries. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,Queen of Diamonds
pleasure seeking (shadow),Other,Represents the quality or energy of pleasure seeking (shadow) in cardology practice,Shadow aspect - challenging expression that requires awareness and integration,9 of Clubs
pleasure-seeking,Other,Represents the quality or energy of pleasure-seeking in cardology practice,Core cardology keyword representing essential card energy,3 of Hearts
power; respect; leadership; mastery; negotiation,Money,Compound keyword representing multiple related energies: power; respect; leadership; mastery; negotiation. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,8 of Diamonds
procrastination (shadow),Other,Represents the quality or energy of procrastination (shadow) in cardology practice,Shadow aspect - challenging expression that requires awareness and integration,6 of Clubs
protection,Protection,Represents the quality or energy of protection in cardology practice,Core cardology keyword representing essential card energy,"King of Hearts,2 of Clubs"
protection (everyday),Protection,Represents the quality or energy of protection (everyday) in cardology practice,Core cardology keyword representing essential card energy,"4 of Spades,6 of Spades"
psychic gift,Clarity,Represents the quality or energy of psychic gift in cardology practice,Core cardology keyword representing essential card energy,6 of Clubs
psychic intuition,Clarity,Represents the quality or energy of psychic intuition in cardology practice,Core cardology keyword representing essential card energy,King of Clubs
psychic receptivity,Clarity,Represents the quality or energy of psychic receptivity in cardology practice,Core cardology keyword representing essential card energy,Queen of Clubs
publishing/office work,Other,Represents the quality or energy of publishing/office work in cardology practice,Core cardology keyword representing essential card energy,Queen of Clubs
redemption arc,Other,Represents the quality or energy of redemption arc in cardology practice,Core cardology keyword representing essential card energy,Jack of Hearts
relationship indecision,Other,Represents the quality or energy of relationship indecision in cardology practice,Core cardology keyword representing essential card energy,Queen of Clubs
reputation,Other,Represents the quality or energy of reputation in cardology practice,Core cardology keyword representing essential card energy,4 of Clubs
resisting control,Power,Represents the quality or energy of resisting control in cardology practice,Core cardology keyword representing essential card energy,Queen of Clubs
responsibility,Other,Represents the quality or energy of responsibility in cardology practice,Core cardology keyword representing essential card energy,6 of Clubs
responsibility in love,Love,Represents the quality or energy of responsibility in love in cardology practice,Core cardology keyword representing essential card energy,"6 of Hearts,8 of Hearts"
responsibility; debt; karma; action; integrity,Money,Compound keyword representing multiple related energies: responsibility; debt; karma; action; integrity. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,6 of Diamonds
restlessness,Other,A drive for change that can inspire growth or sabotage stability,Core cardology keyword representing essential card energy,"5 of Hearts,Ace of Clubs,5 of Spades"
sacrifice,Other,Represents the quality or energy of sacrifice in cardology practice,Core cardology keyword representing essential card energy,"7 of Hearts,Queen of Clubs"
sacrificial love,Love,Represents the quality or energy of sacrificial love in cardology practice,Core cardology keyword representing essential card energy,Jack of Hearts
sales,Other,Represents the quality or energy of sales in cardology practice,Core cardology keyword representing essential card energy,4 of Clubs
sales; charm; creativity; opportunity; overpromising,Love,Compound keyword representing multiple related energies: sales; charm; creativity; opportunity; overpromising. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,Jack of Diamonds
satisfaction,Other,Represents the quality or energy of satisfaction in cardology practice,Core cardology keyword representing essential card energy,4 of Spades
scattered affection,Love,Represents the quality or energy of scattered affection in cardology practice,Core cardology keyword representing essential card energy,3 of Hearts
self-mastery,Power,Represents the quality or energy of self-mastery in cardology practice,Core cardology keyword representing essential card energy,"Queen of Spades,King of Spades"
service,Healing,Using gifts to benefit others,Core cardology keyword representing essential card energy,"6 of Hearts,Queen of Clubs,Ace of Spades,6 of Spades,9 of Spades,King of Spades"
shapeshift,Other,Represents the quality or energy of shapeshift in cardology practice,Core cardology keyword representing essential card energy,Joker
sincerity,Other,Represents the quality or energy of sincerity in cardology practice,Core cardology keyword representing essential card energy,Ace of Hearts
skepticism,Other,Represents the quality or energy of skepticism in cardology practice,Core cardology keyword representing essential card energy,5 of Clubs
sociability,Other,Represents the quality or energy of sociability in cardology practice,Core cardology keyword representing essential card energy,2 of Clubs
social charm,Love,Represents the quality or energy of social charm in cardology practice,Core cardology keyword representing essential card energy,3 of Hearts
social success,Power,Represents the quality or energy of social success in cardology practice,Core cardology keyword representing essential card energy,10 of Hearts
spiritual knowledge,Clarity,Represents the quality or energy of spiritual knowledge in cardology practice,Core cardology keyword representing essential card energy,7 of Clubs
spiritual love,Love,Represents the quality or energy of spiritual love in cardology practice,Core cardology keyword representing essential card energy,7 of Hearts
spiritual studies (later satisfaction),Other,Represents the quality or energy of spiritual studies (later satisfaction) in cardology practice,Core cardology keyword representing essential card energy,5 of Clubs
spiritual study,Clarity,Represents the quality or energy of spiritual study in cardology practice,Core cardology keyword representing essential card energy,Ace of Clubs
spiritual values; non-attachment; wealth lessons; boundaries; perspective,Money,Compound keyword representing multiple related energies: spiritual values; non-attachment; wealth lessons; boundaries; perspective. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,7 of Diamonds
spiritual wisdom,Clarity,Represents the quality or energy of spiritual wisdom in cardology practice,Core cardology keyword representing essential card energy,"10 of Clubs,7 of Spades,9 of Spades,Jack of Spades,Queen of Spades"
stability,Protection,Consistency and steadiness that reduces chaos,Core cardology keyword representing essential card energy,"4 of Hearts,4 of Clubs"
stability; financial protection; structure; hard work; standards,Money,Compound keyword representing multiple related energies: stability; financial protection; structure; hard work; standards. These energies work together in this card's expression.,This is a compound keyword showing multiple interconnected energies,4 of Diamonds
strong opinions,Other,Represents the quality or energy of strong opinions in cardology practice,Core cardology keyword representing essential card energy,8 of Clubs
stubbornness,Other,Represents the quality or energy of stubbornness in cardology practice,Core cardology keyword representing essential card energy,4 of Clubs
success in mental fields,Clarity,Represents the quality or energy of success in mental fields in cardology practice,Core cardology keyword representing essential card energy,8 of Clubs
system of belief,Other,Represents the quality or energy of system of belief in cardology practice,Core cardology keyword representing essential card energy,6 of Clubs
teacher,Other,Represents the quality or energy of teacher in cardology practice,Core cardology keyword representing essential card energy,10 of Clubs
teaching,Clarity,Represents the quality or energy of teaching in cardology practice,Core cardology keyword representing essential card energy,3 of Clubs
the lovers,Love,Represents the quality or energy of the lovers in cardology practice,Core cardology keyword representing essential card energy,2 of Hearts
travel,Other,Represents the quality or energy of travel in cardology practice,Core cardology keyword representing essential card energy,5 of Spades
truth,Clarity,Commitment to integrity and reality-based choices,Core cardology keyword representing essential card energy,6 of Clubs
truth & clarity,Clarity,Represents the quality or energy of truth & clarity in cardology practice,Core cardology keyword representing essential card energy,"2 of Spades,3 of Spades,5 of Spades,7 of Spades,Jack of Spades,Joker"
truth in love,Love,Represents the quality or energy of truth in love in cardology practice,Core cardology keyword representing essential card energy,7 of Hearts
union,Love,Represents the quality or energy of union in cardology practice,Core cardology keyword representing essential card energy,2 of Hearts
universal knowledge,Clarity,Represents the quality or energy of universal knowledge in cardology practice,Core cardology keyword representing essential card energy,9 of Clubs
universal love,Love,Represents the quality or energy of universal love in cardology practice,Core cardology keyword representing essential card energy,9 of Hearts
visibility,Power,Represents the quality or energy of visibility in cardology practice,Core cardology keyword representing essential card energy,10 of Hearts
work ethic,Power,Represents the quality or energy of work ethic in cardology practice,Core cardology keyword representing essential card energy,"3 of Spades,4 of Spades,8 of Spades,10 of Spades"
worry,Other,Represents the quality or energy of worry in cardology practice,Core cardology keyword representing essential card energy,"3 of Clubs,7 of Clubs"
writing,Other,Represents the quality or energy of writing in cardology practice,Core cardology keyword representing essential card energy,3 of Clubs
